"Name","FolderPath","ItemCount","TotalItemSize"
"Alliance Leisure - South Holland Health & Wellbeing Hub","Client A-D Client (A) Alliance Leisure - South Holland Health & Wellbeing Hub","0","0 B (0 bytes)"
"Arizon","Client A-D Client (A) Arizon","0","0 B (0 bytes)"
"01 Client","Client A-D Client (A) Arizon 01 Client","94","75.06 MB (78,710,066 bytes)"
"Ashfield District Council","Client A-D Client (A) Ashfield District Council","3","13.4 MB (14,052,502 bytes)"
"Hucknall Pool","Client A-D Client (A) Ashfield District Council Hucknall Pool","4144","3.997 GB (4,291,571,226 bytes)"
"Kirkby Leisure Centre","Client A-D Client (A) Ashfield District Council Kirkby Leisure Centre","14801","15 GB (16,106,989,345 bytes)"
"FOI data drop","Client A-D Client (A) Ashfield District Council Kirkby Leisure Centre FOI data drop","319","1.461 GB (1,568,221,507 bytes)"
"Aylesbury Town Council","Client A-D Client (A) Aylesbury Town Council","0","0 B (0 bytes)"
"Bloom","Client A-D Client (A) Bloom","14","6.914 MB (7,249,931 bytes)"
"Client (B)","Client A-D Client (B)","0","0 B (0 bytes)"
"Basildon Borough Council","Client A-D Client (B) Basildon Borough Council","27","13.13 MB (13,770,277 bytes)"
"Client (C)","Client A-D Client (C)","0","0 B (0 bytes)"
"Calford Seadon","Client A-D Client (C) Calford Seadon","0","0 B (0 bytes)"
"Brentford Stadium","Client A-D Client (C) Calford Seadon Brentford Stadium","1201","641.5 MB (672,683,267 bytes)"
"Cardiff Met Uni","Client A-D Client (C) Cardiff Met Uni","1","77.03 KB (78,877 bytes)"
"Cayman Islands","Client A-D Client (C) Cayman Islands","2","249.2 KB (255,223 bytes)"
"Chesterfield Borough Council","Client A-D Client (C) Chesterfield Borough Council","0","0 B (0 bytes)"
"Queens Park Sports Centre","Client A-D Client (C) Chesterfield Borough Council Queens Park Sports Centre","6810","2.74 GB (2,941,535,619 bytes)"
"Queens Park Sports Centre folder 2","Client A-D Client (C) Chesterfield Borough Council Queens Park Sports Centre folder 2","100","29.7 MB (31,142,587 bytes)"
"Chiltern District Council","Client A-D Client (C) Chiltern District Council","0","0 B (0 bytes)"
"Chiltern Centre, Amersham","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham","0","0 B (0 bytes)"
"01. Client","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 01. Client","176","67.89 MB (71,190,316 bytes)"
"02. Lawyer","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 02. Lawyer","13","2.079 MB (2,180,354 bytes)"
"03. Email","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 03. Email","14105","15.01 GB (16,120,370,712 bytes)"
"Bloom","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 03. Email Bloom","20","3.157 MB (3,310,533 bytes)"
"Business Development Archive","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 03. Email Business Development Archive","204","158.1 MB (165,781,083 bytes)"
"04. Consultants","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants","53","17.69 MB (18,553,224 bytes)"
"Arboricultural / Ecology - Lloyd Bore","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Arboricultural / Ecology - Lloyd Bore","15","2.719 MB (2,850,749 bytes)"
"Architect - S&P","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Architect - S&P","218","109.7 MB (114,997,321 bytes)"
"Business Planning - KKP","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Business Planning - KKP","56","28.16 MB (29,532,564 bytes)"
"Cost Consultant - A&T","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Cost Consultant - A&T","9","736.7 KB (754,424 bytes)"
"MEP & Pool Engineer - Desco","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants MEP & Pool Engineer - Desco","1","88.52 KB (90,646 bytes)"
"Planning - Rolfe Judd","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Planning - Rolfe Judd","3","485.3 KB (496,982 bytes)"
"Pre-appointments Architect","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Pre-appointments Architect","53","81.82 MB (85,792,197 bytes)"
"Pre-appointments MEP","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Pre-appointments MEP","2","131.7 KB (134,898 bytes)"
"Principal Designer - S&P","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Principal Designer - S&P","11","1.003 MB (1,051,289 bytes)"
"Structural Engineer - Engenuiti","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Structural Engineer - Engenuiti","3","2.872 MB (3,011,118 bytes)"
"Transport Consultant - Caneparo Associates","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Structural Engineer - Engenuiti Transport Consultant - Caneparo Associates","0","0 B (0 bytes)"
"Suppliers","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Suppliers","0","0 B (0 bytes)"
"Climbing Consultant - Venture Xtreme","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Suppliers Climbing Consultant - Venture Xtreme","2","186.4 KB (190,836 bytes)"
"Transport Consultant - Caneparo Associates","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 04. Consultants Transport Consultant - Caneparo Associates","10","3.781 MB (3,964,882 bytes)"
"05. Employer's Requirements","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 05. Employer's Requirements","0","0 B (0 bytes)"
"06. Contractor","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 06. Contractor","1301","2.687 GB (2,884,873,909 bytes)"
"07. Appointment","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 07. Appointment","21","5.649 MB (5,923,324 bytes)"
"08. Finances","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 08. Finances","11","4.342 MB (4,552,793 bytes)"
"Invoices in schedule","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 08. Finances Invoices in schedule","0","0 B (0 bytes)"
"POs / Instructions","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 08. Finances POs / Instructions","0","0 B (0 bytes)"
"09. Meetings","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 09. Meetings","4","725.9 KB (743,304 bytes)"
"10. Stakeholders","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 10. Stakeholders","3","79.38 KB (81,288 bytes)"
"Clubs / Community Groups","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 10. Stakeholders Clubs / Community Groups","4","242.7 KB (248,525 bytes)"
"Sport England","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 10. Stakeholders Sport England","1","101.8 KB (104,208 bytes)"
"11. Contract Instructions","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 11. Contract Instructions","0","0 B (0 bytes)"
"12. Design","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 12. Design","0","0 B (0 bytes)"
"13. Reports","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 13. Reports","0","0 B (0 bytes)"
"14. Photographs","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 14. Photographs","6","92.78 MB (97,289,989 bytes)"
"15. Programme","Client A-D Client (C) Chiltern District Council Chiltern Centre, Amersham 15. Programme","0","0 B (0 bytes)"
"Coventry and Warwickshire Awards Trust","Client A-D Client (C) Coventry and Warwickshire Awards Trust","0","0 B (0 bytes)"
"Wasps DM","Client A-D Client (C) Coventry and Warwickshire Awards Trust Wasps DM","286","125.9 MB (131,994,673 bytes)"
"Coventry City Council","Client A-D Client (C) Coventry City Council","0","0 B (0 bytes)"
"Coventry 50m Pool","Client A-D Client (C) Coventry City Council Coventry 50m Pool","2","2.264 MB (2,373,754 bytes)"
"01 Client","Client A-D Client (C) Coventry City Council Coventry 50m Pool 01 Client","1817","699.4 MB (733,416,469 bytes)"
"02 Lawyers","Client A-D Client (C) Coventry City Council Coventry 50m Pool 02 Lawyers","40","13.89 MB (14,569,486 bytes)"
"03 Emails","Client A-D Client (C) Coventry City Council Coventry 50m Pool 03 Emails","6928","3.469 GB (3,724,675,954 bytes)"
"04 Consultants","Client A-D Client (C) Coventry City Council Coventry 50m Pool 04 Consultants","1985","1.048 GB (1,125,193,624 bytes)"
"05 Employer's Requirements","Client A-D Client (C) Coventry City Council Coventry 50m Pool 05 Employer's Requirements","3","482 KB (493,581 bytes)"
"06 Contractor","Client A-D Client (C) Coventry City Council Coventry 50m Pool 06 Contractor","915","571.1 MB (598,814,185 bytes)"
"07 Appointment","Client A-D Client (C) Coventry City Council Coventry 50m Pool 07 Appointment","6","2.294 MB (2,405,350 bytes)"
"08 Finances","Client A-D Client (C) Coventry City Council Coventry 50m Pool 08 Finances","0","0 B (0 bytes)"
"09 Meetings","Client A-D Client (C) Coventry City Council Coventry 50m Pool 09 Meetings","0","0 B (0 bytes)"
"10 Stakeholders","Client A-D Client (C) Coventry City Council Coventry 50m Pool 10 Stakeholders","151","34.28 MB (35,944,584 bytes)"
"11 Contract Instructions","Client A-D Client (C) Coventry City Council Coventry 50m Pool 11 Contract Instructions","4","465.8 KB (477,005 bytes)"
"12 Design","Client A-D Client (C) Coventry City Council Coventry 50m Pool 12 Design","7","3.265 MB (3,424,045 bytes)"
"13 Reports","Client A-D Client (C) Coventry City Council Coventry 50m Pool 13 Reports","0","0 B (0 bytes)"
"14 Photos","Client A-D Client (C) Coventry City Council Coventry 50m Pool 14 Photos","1","6.56 MB (6,878,387 bytes)"
"15 Programme","Client A-D Client (C) Coventry City Council Coventry 50m Pool 15 Programme","0","0 B (0 bytes)"
"Coventry City Centre Pool","Client A-D Client (C) Coventry City Council Coventry City Centre Pool","0","0 B (0 bytes)"
"00 General Admin","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 00 General Admin","0","0 B (0 bytes)"
"01 Client","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 01 Client","5209","1.731 GB (1,858,322,976 bytes)"
"02 Lawyers","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 02 Lawyers","197","113.1 MB (118,594,114 bytes)"
"03 Emails","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 03 Emails","15387","10.03 GB (10,765,525,163 bytes)"
"04 Consultants","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 04 Consultants","3903","2.527 GB (2,713,603,652 bytes)"
"05 Employers Requirements","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 05 Employers Requirements","5","2.73 MB (2,862,822 bytes)"
"06 Contractor","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 06 Contractor","5040","3.104 GB (3,333,295,739 bytes)"
"07 Appointment","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 07 Appointment","3","8.282 MB (8,684,608 bytes)"
"08 Finances","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 08 Finances","3","2.475 MB (2,594,948 bytes)"
"09 Meetings","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 09 Meetings","7","2.783 MB (2,917,755 bytes)"
"10 Stakeholders","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 10 Stakeholders","325","150.6 MB (157,926,935 bytes)"
"11 Contract Instructions","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 11 Contract Instructions","9","1.258 MB (1,319,397 bytes)"
"12 Design","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 12 Design","2","10.09 MB (10,576,145 bytes)"
"13 Reports","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 13 Reports","6","7.145 MB (7,492,246 bytes)"
"14 Photos","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 14 Photos","0","0 B (0 bytes)"
"15 Programme","Client A-D Client (C) Coventry City Council Coventry City Centre Pool 15 Programme","0","0 B (0 bytes)"
"Client (D)","Client A-D Client (D)","0","0 B (0 bytes)"
"Dacorum Borough Council","Client A-D Client (D) Dacorum Borough Council","0","0 B (0 bytes)"
"3G Pitch Project","Client A-D Client (D) Dacorum Borough Council 3G Pitch Project","0","0 B (0 bytes)"
"Berkhamstead Leisure Centre","Client A-D Client (D) Dacorum Borough Council Berkhamstead Leisure Centre","315","871.4 MB (913,722,712 bytes)"
"Berkhamsted Leisure Centre Redevelopment (Stages 2 - 7)","Client A-D Client (D) Dacorum Borough Council Berkhamsted Leisure Centre Redevelopment (Stages 2 - 7)","0","0 B (0 bytes)"
"Berkhamsted Leisure Centre Redevelopment, Feasibility Study","Client A-D Client (D) Dacorum Borough Council Berkhamsted Leisure Centre Redevelopment, Feasibility Study","683","890.7 MB (933,934,732 bytes)"
"Dover District Council","Client A-D Client (D) Dover District Council","0","0 B (0 bytes)"
"DDC-EH Cable Car Project","Client A-D Client (D) Dover District Council DDC-EH Cable Car Project","0","0 B (0 bytes)"
"Deal Leisure Centre (Tides), Feasibility Study","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study","1","190.5 KB (195,107 bytes)"
"01. Client","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 01. Client","6","819.5 KB (839,210 bytes)"
"03. Email","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 03. Email","12","11.16 MB (11,699,135 bytes)"
"04. Consultants","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 04. Consultants","0","0 B (0 bytes)"
"Architect - GT3","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 04. Consultants Architect - GT3","10","2.07 MB (2,170,261 bytes)"
"Business Planning - TSC","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 04. Consultants Business Planning - TSC","50","50.81 MB (53,274,414 bytes)"
"Cost Consultant - F+G","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 04. Consultants Cost Consultant - F+G","5","1.069 MB (1,120,838 bytes)"
"Operator - Your Leisure","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 04. Consultants Operator - Your Leisure","1","113.5 KB (116,202 bytes)"
"07. Appointment","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 07. Appointment","10","2.86 MB (2,998,637 bytes)"
"13. Reports","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 13. Reports","0","0 B (0 bytes)"
"Deal Leisure Centre (Tides), Stages 2-7","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Stages 2-7","0","0 B (0 bytes)"
"Dover Leisure Centre","Client A-D Client (D) Dover District Council Dover Leisure Centre","0","0 B (0 bytes)"
"01. Client","Client A-D Client (D) Dover District Council Dover Leisure Centre 01. Client","952","299.7 MB (314,251,403 bytes)"
"02. Lawyer","Client A-D Client (D) Dover District Council Dover Leisure Centre 02. Lawyer","91","76.14 MB (79,839,875 bytes)"
"03. Email","Client A-D Client (D) Dover District Council Dover Leisure Centre 03. Email","664","489.7 MB (513,438,095 bytes)"
"Stage 2 coorespondence","Client A-D Client (D) Dover District Council Dover Leisure Centre 03. Email Stage 2 coorespondence","17","12.57 MB (13,179,216 bytes)"
"04. Consultants","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants","11","589.9 KB (604,040 bytes)"
"Acoustics","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Acoustics","59","24.89 MB (26,098,773 bytes)"
"Archaeology","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Archaeology","99","36.86 MB (38,648,627 bytes)"
"Architect","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Architect","897","886.6 MB (929,698,766 bytes)"
"BREEAM","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants BREEAM","154","45.1 MB (47,295,441 bytes)"
"Building Control","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Building Control","5","1.501 MB (1,573,425 bytes)"
"Business Planning","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Business Planning","400","248.8 MB (260,905,043 bytes)"
"CDM","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants CDM","22","4.264 MB (4,471,372 bytes)"
"Civil/Structures","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Civil/Structures","221","172.5 MB (180,865,007 bytes)"
"Clip & Climb","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Clip & Climb","5","30.28 MB (31,755,778 bytes)"
"Cost Consultant","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Cost Consultant","408","118 MB (123,749,679 bytes)"
"Appointment","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Cost Consultant Appointment","5","13.47 MB (14,124,540 bytes)"
"CoW","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants CoW","40","69.35 MB (72,718,006 bytes)"
"Ecology","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Ecology","133","50.46 MB (52,909,931 bytes)"
"Fire","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Fire","40","45.57 MB (47,780,072 bytes)"
"Ground Investigation","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Ground Investigation","86","80.41 MB (84,316,179 bytes)"
"Landscape","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Landscape","149","104.4 MB (109,498,449 bytes)"
"MEP Engineer","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants MEP Engineer","180","100.8 MB (105,734,581 bytes)"
